,house_id,house_name,price_per_night,rating,review_num,house_url
14,34572693,Tranquil Mountain Cabin in LA,139,5.0,208,https://www.airbnb.com/rooms/22309844?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9f6a5ac1-8e1d-1e96-3d80-ce401cc0c7ec&amp;federated_search_id=343fbbde-537d-4965-b140-deb4bb37ed87
15,19573785,Central LA studio/Private Parking,95,4.65,27,https://www.airbnb.com/rooms/37720081?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9f6a5ac1-8e1d-1e96-3d80-ce401cc0c7ec&amp;federated_search_id=343fbbde-537d-4965-b140-deb4bb37ed87
16,40286467,Om Mantra House in Hollywood Hills,65,0,132,https://www.airbnb.com/rooms/29040737?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9f6a5ac1-8e1d-1e96-3d80-ce401cc0c7ec&amp;federated_search_id=343fbbde-537d-4965-b140-deb4bb37ed87
17,40704558,"Monterey Park, room #1",104,0,206,https://www.airbnb.com/rooms/13866238?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9f6a5ac1-8e1d-1e96-3d80-ce401cc0c7ec&amp;federated_search_id=343fbbde-537d-4965-b140-deb4bb37ed87
18,21804966,"Private room & bathroom. Near LAX, Beaches, shops",88,4.75,117,https://www.airbnb.com/rooms/29040737?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
19,40649939,"private room quiet area near Pasadena,  room 4",90,5.0,0,https://www.airbnb.com/rooms/28913346?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
20,28675934,Large Private Bedroom in a Lovely Home in Prime LA,120,4.69,21,https://www.airbnb.com/rooms/19573785?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
21,33812234,Tranquil Suite in the Heart of Los Feliz,62,4.69,45,https://www.airbnb.com/rooms/40028404?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
22,40763602,Soak Up the LA Sunshine at a Hip Boutique Hotel,64,0,216,https://www.airbnb.com/rooms/31016427?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
23,40028404,San Gabriel 独立洗手间一楼D房密码锁入住..步行十分钟希尔顿酒店,39,5.0,0,https://www.airbnb.com/rooms/35270270?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
24,17370641,1.A.Lovely Private Room with private bathroom NoHo,59,4.95,0,https://www.airbnb.com/rooms/24853223?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
25,15240195,cozy studio #8,107,4.83,55,https://www.airbnb.com/rooms/35303044?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
26,27495640,플라워 6,55,4.79,0,https://www.airbnb.com/rooms/27291841?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
27,39871891,NoHo Oasis,70,4.67,52,https://www.airbnb.com/rooms/28675934?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
28,36455400,Private Modern Studio Charmer,89,4.86,206,https://www.airbnb.com/rooms/34572693?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
29,40483751,Fully Remodeled Hideout on the Hill Guesthouse,65,4.54,55,https://www.airbnb.com/rooms/19198409?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
30,19198409,Cozy Bedroom in West Hollywood.,50,0,0,https://www.airbnb.com/rooms/25135484?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
31,24858808,Private Cottage with Parking in Walkable Los Feliz,125,4.85,0,https://www.airbnb.com/rooms/15240195?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
32,40766480,Heart of LA,59,4.41,26,https://www.airbnb.com/rooms/39599271?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
33,13866238,Queen bed/ Private Room № 3. Cam.,76,4.95,92,https://www.airbnb.com/rooms/18477382?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
34,38385812,U5 Private room w/ 24 hour self check in- downtown,73,4.81,35,https://www.airbnb.com/rooms/20457049?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9687dd7e-d776-dbf1-d4cd-67938ca4415e&amp;federated_search_id=b3e74454-d4b5-45c1-b33a-8746fee0ebe1
