,house_id,lat_lng,address
67,40766094,"(34.195177849129394, -118.61085652995054)","22216 Bassett St, Canoga Park, CA 91303, USA"
68,22358136,"(34.044815, -118.25666)","416 W 8th St, Los Angeles, CA 90014, USA"
69,15179890,"(34.16485, -118.63366)","23263 Gonzales Dr, Woodland Hills, CA 91367, USA"
70,40734845,"(34.14057, -118.24865)","526 E Lomita Ave, Glendale, CA 91205, USA"
71,39775029,"(34.1444, -118.45414)","4107 Madelia Ave, Sherman Oaks, CA 91403, USA"
72,28289822,"(33.99671, -118.33742)","5106 Deane Ave, Windsor Hills, CA 90043, USA"
73,26167094,"(34.042988, -118.539162)","515 Muskingum Pl, Pacific Palisades, CA 90272, USA"
74,1006774,"(34.04001, -118.43619)","2230 S Bentley Ave, Los Angeles, CA 90064, USA"
75,2722835,"(34.05183, -118.2647)","1128 Ingraham St, Los Angeles, CA 90017, USA"
76,13823767,"(34.14319, -118.12366)","145 S Holliston Ave, Pasadena, CA 91106, USA"
77,40763933,"(34.10148984299514, -118.33011568241767)","6404 Hollywood Blvd, Los Angeles, CA 90028, USA"
78,35680170,"(33.90883, -118.35439)","4487 W 136th St, Hawthorne, CA 90250, USA"
79,20427891,"(33.98781, -117.89311)","18837 Colima Rd, Rowland Heights, CA 91748, USA"
80,35710491,"(34.15553, -118.22158)","519 Solway St, Glendale, CA 91206, USA"
81,21610621,"(34.11082, -118.24058)","2711 W Ave 31, Los Angeles, CA 90065, USA"
82,35643040,"(33.95986, -118.41953)","Lincoln SB & Manchester NS, Los Angeles, CA 90045, USA"
83,19123987,"(34.10976, -118.25989)","2901 Acresite St, Los Angeles, CA 90039, USA"
84,24312164,"(33.96365, -118.36531)","550 W Regent St, Inglewood, CA 90301, USA"
85,4746568,"(34.03813, -118.28002)","1013 W Washington Blvd, Los Angeles, CA 90015, USA"
86,16303125,"(34.12251, -118.37623)","8147 Mulholland Dr, Los Angeles, CA 90046, USA"
87,4211269,"(34.04331, -118.5665)","17985 Pacific Coast Hwy, Pacific Palisades, CA 90272, USA"
88,40307263,"(34.11043, -118.21098)","4837 Aldama St, Los Angeles, CA 90042, USA"
89,36000988,"(34.04583, -118.15008)","1500 Solar Dr, Monterey Park, CA 91754, USA"
90,38494821,"(33.93045, -118.21225)","3215 E Imperial Hwy, Lynwood, CA 90262, USA"
91,31053254,"(34.05461, -118.26387)","6th / Lucas, Los Angeles, CA 90017, USA"
92,33834286,"(34.22573, -118.36399)","8526 Terhune Ave, Sun Valley, CA 91352, USA"
93,39222924,"(34.08581, -118.06621)","9239 Rio Dell St, Rosemead, CA 91770, USA"
94,19088723,"(34.102615, -118.345963)","1735 N La Brea Ave, Los Angeles, CA 90046, USA"
95,18012892,"(34.10819, -118.37845)","2042 Stanley Hills Pl, Los Angeles, CA 90046, USA"
96,15165198,"(34.00187, -118.45428)","1251 Palms Blvd, Venice, CA 90291, USA"
97,39058427,"(34.16484, -118.3014)","417 Irving Ave, Glendale, CA 91201, USA"
98,31084665,"(34.06042, -118.26905)","326 S Burlington Ave, Los Angeles, CA 90057, USA"
99,14054436,"(34.12863, -118.07007)","9105 E Fairview Ave, San Gabriel, CA 91775, USA"
100,40162653,"(33.97829, -118.46414)","112 Catamaran St, Marina Del Rey, CA 90292, USA"
101,967783,"(34.00289, -118.4332)","12411 Pacific Ave, Los Angeles, CA 90066, USA"
102,38669837,"(34.12971, -118.02924)","40 E Duarte Rd, Arcadia, CA 91006, USA"
103,16651582,"(34.15967, -118.11889)","1525 Paloma St, Pasadena, CA 91104, USA"
104,29827750,"(34.09806, -118.31743)","5849 Sunset Blvd, Los Angeles, CA 90028, USA"
105,17302731,"(33.70989, -117.90673)","2855 S Fairview St, Santa Ana, CA 92704, USA"
106,33457255,"(33.73128, -117.94228)","10722 Morning Glory Ave, Fountain Valley, CA 92708, USA"
107,24717563,"(34.10279, -118.34787)","7266 Franklin Ave, Los Angeles, CA 90046, USA"
108,38753113,"(34.03875, -118.25896)","1123 S Main St, Los Angeles, CA 90015, USA"
109,6271245,"(34.09056, -118.21894)","474 Vista Gloriosa Dr, Los Angeles, CA 90065, USA"
110,37433576,"(34.07766, -118.08966)","1731 S Gladys Ave, San Gabriel, CA 91776, USA"
111,37060401,"(34.02514, -118.48342)","1418 16th St, Santa Monica, CA 90404, USA"
112,37600457,"(33.97572, -118.4529)","13924 Marquesas Way, Marina Del Rey, CA 90292, USA"
113,40759493,"(34.043341336396544, -118.25272379285562)","734 S Spring St, Los Angeles, CA 90014, USA"
114,35717271,"(34.04764, -118.21141)","404 N St Louis St, Los Angeles, CA 90033, USA"
115,29613837,"(34.05755, -118.31033)","815 S Manhattan Pl, Los Angeles, CA 90005, USA"
116,13511388,"(34.08768, -118.13731)","241 S Curtis Ave, Alhambra, CA 91801, USA"
117,21884962,"(33.84496, -118.1108)","4763 Canehill Ave, Lakewood, CA 90713, USA"
118,40448691,"(34.09888, -118.34246)","7020 Lanewood Ave, Los Angeles, CA 90028, USA"
119,35161096,"(33.85239, -117.96417)","2312 W Arlington Ave, Anaheim, CA 92801, USA"
120,40182702,"(33.79578, -117.92731)","11502 Jacalene Ln, Garden Grove, CA 92840, USA"
121,20961166,"(33.81058, -118.00156)","7525 W Cerritos Ave, Stanton, CA 90680, USA"
122,13418404,"(34.06913, -118.13904)","1421 Pedley Dr, Alhambra, CA 91803, USA"
123,1336402,"(34.00866, -118.10864)","136 S Montebello Blvd, Montebello, CA 90640, USA"
124,29373491,"(33.94661, -118.39287)","6141 W Century Blvd, Los Angeles, CA 90045, USA"
125,38488177,"(34.00453, -117.8437)","754 Summerwood Ave, Walnut, CA 91789, USA"
126,34214249,"(34.05019, -118.2498)","Pershing Square, 500 S Hill St, Los Angeles, CA 90013, USA"
127,22498768,"(33.98388, -117.85749)","20514 Missionary Ridge St, Walnut, CA 91789, USA"
128,37970815,"(34.18015, -118.39202)","11849 Oxnard St, North Hollywood, CA 91606, USA"
129,31085930,"(34.06039, -118.26851)","321 S Union Ave, Los Angeles, CA 90017, USA"
130,40241031,"(34.0198, -118.18309)","1137 S Record Ave, Los Angeles, CA 90023, USA"
131,18278425,"(33.92223, -118.36936)","12202 S La Cienega Blvd, Hawthorne, CA 90250, USA"
132,1025047,"(34.01188, -118.48048)","839 Grant St, Santa Monica, CA 90405, USA"
133,21284644,"(34.17887, -118.37367)","11108 Oxnard St, North Hollywood, CA 91606, USA"
134,21065928,"(33.89612, -118.29448)","1121 W 149th St, Gardena, CA 90247, USA"
135,13496008,"(34.1398, -118.38475)","11570 Ventura Blvd, Studio City, CA 91604, USA"
136,16493077,"(33.88204, -118.35513)","4508 W 164th St, Lawndale, CA 90260, USA"
